Customer_ID,Age,Gender,City,Income_Level,Purchase_Mode,Brand_Purchased,Price_Range,Payment_Mode,Purchase_Frequency,Satisfaction_Rating
CUST00001,56,Male,Pune,Low,Online,Dell,30K-50K,UPI,Rare,4
CUST00002,46,Female,Kolkata,Medium,Online,MSI,Below 30K,Cash,Occasional,2
CUST00003,32,Male,Bangalore,Low,Online,Samsung,80K-1.2L,UPI,Occasional,3
CUST00004,25,Female,Jaipur,Medium,Offline,Samsung,Below 30K,Credit Card,Rare,4
CUST00005,38,Female,Pune,High,Online,MSI,80K-1.2L,Cash,Rare,3
CUST00006,56,Female,Ahmedabad,High,Online,Acer,30K-50K,EMI,Occasional,4
CUST00007,36,Male,Hyderabad,Medium,Offline,Lenovo,30K-50K,Credit Card,Rare,1
CUST00008,40,Male,Kolkata,Low,Offline,Lenovo,80K-1.2L,UPI,Occasional,3
CUST00009,28,Male,Ahmedabad,Low,Online,Apple,30K-50K,EMI,Rare,5
CUST00010,28,Male,Bangalore,Medium,Offline,Lenovo,80K-1.2L,Credit Card,Rare,5
CUST00011,41,Male,Pune,Low,Online,HP,30K-50K,Cash,Frequent,5
CUST00012,53,Female,Delhi,Medium,Online,Acer,30K-50K,Credit Card,Rare,3
CUST00013,57,Female,Bangalore,Low,Online,Acer,50K-80K,Debit Card,Rare,2
CUST00014,41,Male,Delhi,Medium,Offline,Apple,30K-50K,UPI,Rare,4
CUST00015,20,Male,Kolkata,Low,Online,MSI,30K-50K,Cash,Rare,1
CUST00016,39,Male,Pune,High,Online,Dell,50K-80K,Cash,Rare,1
CUST00017,19,Male,Mumbai,Medium,Offline,Lenovo,30K-50K,Debit Card,Rare,3
CUST00018,41,Female,Jaipur,Medium,Online,HP,30K-50K,EMI,Rare,5
CUST00019,47,Male,Mumbai,Low,Offline,MSI,80K-1.2L,Cash,Frequent,1
CUST00020,55,Male,Mumbai,Medium,Online,Apple,80K-1.2L,EMI,Rare,1
CUST00021,19,Male,Ahmedabad,Low,Online,MSI,30K-50K,EMI,Rare,2
CUST00022,38,Female,Hyderabad,Medium,Online,Apple,50K-80K,EMI,Rare,1
